CHR                            HASH SHA256
ev -- 67d35554c1f60638d6d72a0edc045450a841f7efabe0f9843b7e653499094538
ew -- e7bbf0eda002c1ba04bfadfc73ed17c8b71d212419685fe490edfb4586f7030a
ex -- 5312fb609f60384731fcfcb95deef3602239bf61f865a07bd8e08d818d22e9fa
ey -- 2bdd94c004581aa9f0d47b502c1e4e1bb83a7c2cf245b1b3c5d2670d9ae64ec4
ez -- ea7ea1e7bd82684fe8e5be43ca12bbe5e47ec31dc2c0de0f5b4395f5deb44113
----------------------------------------------------------------------
fa -- 3097e26b7f3cbdb920765a6c3d2ba94985e465cccb0664c62cec43fdc7544670
fb -- 5f3731b52ad0fb2f820b91495eb9961aebcbbc79d5881e5a26a382e694b9ccc0
fc -- 8312c5d48baec3e2cb31e1402d2eedd77ff6dc19f9f64895ca7fe6e23a73a636
fd -- 8bd574fdb05c2dc5017188a2f4c32d5b81963e0a33eccba92404e968c665006d
fe -- 2c9dcded5b6e7e0ee0e0dc6555b45b9ac044efd2b6daa1a1982c3887ddc6d6d4
ff -- 05a9bf223fedf80a9d0da5f73f5c191a665bf4a0a4a3e608f2f9e7d5ff23959c
fg -- c380779f6175766fdbe90940851fff3995d343c63bbb82f816843c1d5100865e
fh -- 7f3684acbbd068809e68cc5b734b30d489c98dca5849a58d1b20c162df649f61
fi -- b4bdc848109722a383d0a972c6eb859f2abd29565b8c4cc7199e7c9eb708f1b7
fj -- e91347915e81731107c58a37b2dce7f230467f19faa945c7ad0f45453fd36589
fk -- 5bddbdea794b5ac1ebd76c5987e666ec03cc3f70f07276253550ba7bb8876cc0
fl -- 593f2d04aab251f60c9e4b8bbc1e05a34e920980ec08351a18459b2bc7dbf2f6
fm -- 440f3041c89adee0f2ad780704bcc0efae1bdb30f8d77dc455a2f6c823b87ca0
fn -- 0f1e18bb4143dc4be22e61ea4deb0491c2bf7018c6504ad631038aed5ca4a0ca
fo -- 9c3aee7110b787f0fb5f81633a36392bd277ea945d44c874a9a23601aefe20cf
fp -- 5aef96240bca5582e6fd0468879a26863d81d1c1fb602def55926ef33ec8bb1f
fq -- b1b927541c77e69aea9d143fc238ee78e05fb942e9c42a5b4fd9eeb1f6affcb4
fr -- 67ad8f41a7bb0a18c45f3efd8f6a32bdcd832bcf8f3f2eb44006c03d53076e18
fs -- dce7cce055566bed799f788cd0048e209a27a473c0f48b956fa1f1780e80d2c1
ft -- 9adf009b9ea42792e73e5dc86e9c9024489d74ad894c0a3acbc03095158eaabc
fu -- a4d0ef23161b5b7c6a8d5b287543fd74e16b3bf313d71aa187c24cdd728a7b1e
fv -- a5fee8bd5203c2ce219966e4678b006a3e9844c29a1bc6e3448589d98de3b993
fw -- 07f7ab476bc3a83fad639d34a012cb4a5f859441f0d24c11627ca96696839012
fx -- 6956e1dffd6851cfa0b5461772d12f1dd7d22676f5eee2aad3ae7c0b630d5c80
fy -- 0117834bf60dcf977229bf1e982cf9bc63b60ef42052f7ce7e800ce1216a9af6
fz -- ddc03b574018168d8d45765b13cda9753d2690371f1f7b945200932c2c3802bd
----------------------------------------------------------------------
ga -- f52d63231eb0dbaac689ec9147e4b131fc95ef92d5bc78135b22934b36d76bf4
gb -- 0b407281768f0e833afef47ed464b6571d01ca4d53c12ce5c51d1462f4ad6677
gc -- 3e399c46e9652dadde7e51c0c0fa5ac911aa1908375f3ccf5595246cc508c5e4
gd -- 2b88144311832d59ef138600c90be12a821c7cf01a9dc56a925893325c0af99f
ge -- 309d20864f274b097f64106ec08fde76b42486d4e2f7165c7a9a233533dd8fc3
gf -- 0dd654989d6ccf1eb083cad80bab71c45900251334bece4a9bc9578b849ec63b
gg -- cbd3cfb9b9f51bbbfbf08759e243f5b3519cbf6ecc219ee95fe7c667e32c0a8d
gh -- fb2b7fce0940161406a6aa3e4d8b4aa6104014774ffa665743f8d9704f0eb0ec
gi -- 1917d730c88ed0f6fd76487c7aeaf58635effb03dfd688d74d423fbcbd510b5a
